"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2003-03-12,155,183.9,155,176,176.25,1233452,2199.4
2003-03-13,174,186.65,174,180,180,1177678,2131.13
2003-03-17,180,180,167.65,173.5,171,176654,309.22
2003-03-19,174,178.9,172.7,175,176.75,106862,187.42
2003-03-20,175.8,191.2,175,182.8,183.55,433277,799.05
2003-03-21,183,191.8,183,187,185.55,227349,425.18
2003-03-22,188,195,187.1,194,193.2,148001,282.94
2003-03-24,195,205.8,191.5,198.6,201.45,790914,1589.8
2003-03-25,200.4,222,196.8,216.85,218,1583444,3369.33
2003-03-26,218.8,231.8,217,218.9,219.7,1656273,3743.58
2003-03-27,220.05,221.6,205,208.15,207.4,1031428,2184.68
2003-03-28,205,240.85,205,231.9,234.45,2680172,6046.69
2003-03-31,228,234.75,217,221.1,219.15,1526826,3465.52
2003-04-01,224,238.3,220.95,229.95,230.75,1234990,2870.72
2003-04-02,233.9,237.95,230.5,236.65,235.8,585978,1376.02
2003-04-03,238.1,243.7,235,235.1,236.35,596968,1427
2003-04-04,236.1,238.4,233,234,233.65,332725,782.45
2003-04-07,235,239.25,234.35,237.25,236.2,273976,649.51
2003-04-08,235,260.8,235,250.4,250.5,1294743,3261.36
2003-04-09,251.05,263.85,251.05,255.95,255.65,701154,1814.57
2003-04-10,258,258,242,242,243.8,250513,626.7
2003-04-11,244.5,253.9,241,251.5,248.1,136630,338.45
2003-04-15,254,275,252.55,256,256.15,272453,713.42
2003-04-16,259.5,262,249.15,252.25,251.95,165178,421.31
2003-04-17,254,255,243.5,248,246.05,220243,547.96
2003-04-21,250,253.75,244.25,245.35,245.35,104187,258.09
2003-04-22,246.7,258.5,240.2,256.8,256.3,537677,1350.66
2003-04-23,259.7,263.85,254,260,259.85,420333,1093.41
2003-04-24,263,263,255.15,256.8,256.45,150244,388.44
2003-04-25,257.65,259.8,248,255.1,255.1,127515,327.47
2003-04-28,256,269.3,251.5,269,265.85,316043,827.88
2003-04-29,267,283.3,267,279.5,277.65,952003,2638.69
2003-04-30,275.5,295,275,294,290.25,698681,1997.58
2003-05-02,295.9,301.4,286.15,290,289.6,884071,2598.72
2003-05-05,292.75,295.8,273.1,279.95,278.65,464233,1328.26
2003-05-06,281.9,293.7,280,287,288.2,490192,1407.67
2003-05-07,292,295.7,285.05,287,286.6,428378,1246.39
2003-05-08,285,289.4,278.3,280.5,279.85,256066,725.14
2003-05-09,281.9,285.7,277.2,279.55,281.75,305672,862.42
2003-05-12,285,294,282.05,289.55,289.05,355352,1031.86
2003-05-13,291,293.7,281.9,284,283.6,253599,729.96
2003-05-14,285.65,288.8,283.5,285.65,285.4,177650,508.21
2003-05-15,278,319.95,252,318.05,316.7,1371793,4196.59
2003-05-16,320.5,334.7,317,319,321.65,1024383,3362.7
2003-05-19,320.15,326.7,307.1,308.25,311.05,406096,1290.33
2003-05-20,309.65,335,309,334,331.55,891406,2915.98
2003-05-21,333,339.7,318.1,322,320.8,519096,1708.93
2003-05-22,325,335,316,331,331.1,807994,2643.77
2003-05-23,338,369,324.55,361,361.35,1747877,6097.24
2003-05-26,365,376.75,351,369,369.95,733394,2715.17
2003-05-27,370.5,374.7,364,366.5,366.55,406814,1504.62
2003-05-28,366.1,384,364.25,368.9,367.9,620142,2312.67
2003-05-29,370,376.35,365.65,365.8,367.6,267503,993.81
2003-05-30,368,386,368,373.1,374.2,491858,1860.18
2003-06-02,377.4,386.45,372.65,378.75,377.9,310845,1183.09
2003-06-03,376,386,376,377.75,378.55,233063,888.34
2003-06-04,378,399.75,378,397.05,396.65,674253,2635.84
2003-06-05,398.5,404,388.9,391.5,392.25,231452,918
2003-06-06,400,400,386.55,390.3,392.25,168702,660.49
2003-06-09,393.65,412.8,390,408.7,408.6,408059,1651
2003-06-10,408,408.4,388.05,390.05,394.1,150898,607.16
2003-06-11,396.65,401.7,381.25,390,390.6,212180,830.17
2003-06-12,393,398.85,382.1,386,386.3,132563,518.32
2003-06-13,388,396.4,384.35,387,386.9,132693,517.41
2003-06-16,385,408.3,385,405.75,405.05,536435,2145.15
2003-06-17,409.7,421.4,405,411.15,414.05,498155,2072.23
2003-06-18,411.25,437.8,411.25,435.35,432.4,532769,2273.28
2003-06-19,435,442,426,428,428.65,394618,1715.55
